Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,3.0021435976028443,4.3125,2.990848082762498,5.048076923076923
2,2.9799349117279053,5.5,2.9636742701897254,12.740384615384615
3,2.8946934223175047,11.8125,2.8582358360290527,9.615384615384615
4,2.7765776777267455,13.6875,2.7780622152181773,11.057692307692308
5,2.688177456855774,16.1875,2.801703012906588,14.663461538461538
6,2.6079847240447998,17.3125,2.7660741806030273,13.701923076923077
7,2.574565773010254,18.3125,2.775271800848154,12.01923076923077
8,2.539943370819092,20.375,2.7185383393214297,9.85576923076923
9,2.500950298309326,22.25,2.845304379096398,17.307692307692307
10,2.4795983695983885,22.0,2.621021729249221,15.865384615384615
11,2.35440541267395,29.0,2.596820721259484,15.14423076923077
12,2.319622402191162,30.5,2.6221196468059835,18.509615384615383
13,2.2696559762954713,32.375,2.6185105397151065,15.384615384615385
14,2.267104322910309,31.625,2.6179460011995754,15.625
15,2.24922153711319,34.125,2.648107198568491,16.826923076923077
16,2.2002149510383604,35.75,2.658156449978168,19.71153846153846
