Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,2.9710905504226686,6.9375,2.8932154178619385,10.576923076923077
2,2.541401968002319,21.75,2.5103870171767015,21.153846153846153
3,1.9844890236854553,40.75,2.4954131841659546,19.951923076923077
4,1.6643403804302215,54.5625,3.3215164037851186,5.048076923076923
5,1.5391470634937285,59.375,2.426576568530156,37.5
6,1.1003966546058654,67.125,4.423904290566077,37.5
7,0.9338658231496811,72.75,3.0493666117007914,40.86538461538461
8,0.7245023202896118,79.25,3.7382196463071384,45.43269230769231
9,0.6451148813962937,83.3125,2.9779793115762563,47.11538461538461
10,0.44841204583644867,87.6875,4.134583216447097,46.39423076923077
11,0.2967065480351448,91.5625,3.8216055173140306,47.11538461538461
12,0.23309220917522908,93.375,3.9344036762530985,45.67307692307692
13,0.22648551009595394,94.0625,4.152467122444739,44.71153846153846
14,0.2204428604990244,93.875,4.125346513894888,46.875
15,0.20328622341156005,94.75,4.271795401206384,45.43269230769231
16,0.19896358147263526,94.6875,4.305023816915659,46.875
17,0.1940107598155737,94.625,4.53721939600431,43.99038461538461
18,0.18840546920895576,95.375,4.489269146552453,47.35576923076923
19,0.1819556498527527,95.0625,4.430719797427837,46.39423076923077
20,0.1732170171290636,95.5625,4.473537014080928,47.35576923076923
21,0.16936535961925983,95.0,4.612780149166401,47.35576923076923
22,0.16145263396203519,95.5,4.615802453114436,46.39423076923077
23,0.16427502304315567,94.875,4.662995796937209,46.875
24,0.16929565005004407,95.3125,4.710695138344398,45.43269230769231
25,0.165837080180645,95.9375,4.784365727351262,45.67307692307692
26,0.1618304593116045,95.6875,4.781031333483183,46.39423076923077
27,0.1590744801610708,95.5,4.766764970926138,46.39423076923077
28,0.17032738883048296,95.0625,4.640531539916992,47.59615384615385
29,0.16187115624547005,95.5,4.8784428009620076,45.91346153846154
30,0.16075338892638683,95.6875,4.671424829042875,47.11538461538461
